name,subsystem,reaction,formula
E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate,Biomass and maintenance functions,BIOMASS_Ec_iJO1366_WT_53p95M,0.000223 10fthf_c + 0.000223 2dmmql8_c + 2.5e-05 2fe2s_c + 0.000248 4fe4s_c + 0.000223 5mthf_c + 0.000279 accoa_c + 0.000223 adocbl_c + 0.499149 ala__L_c + 0.000223 amet_c + 0.28742 arg__L_c + 0.234232 asn__L_c + 0.234232 asp__L_c + 54.119975 atp_c + 0.000116 bmocogdp_c + 2e-06 btn_c + 0.004952 ca2_c + 0.000223 chor_c + 0.004952 cl_c + 0.002944 clpn160_p + 0.00229 clpn161_p + 0.00118 clpn181_p + 0.000168 coa_c + 2.4e-05 cobalt2_c + 0.008151 colipa_e + 0.129799 ctp_c + 0.000674 cu2_c + 0.088988 cys__L_c + 0.024805 datp_c + 0.025612 dctp_c + 0.025612 dgtp_c + 0.024805 dttp_c + 0.000223 enter_c + 0.000223 fad_c + 0.006388 fe2_c + 0.007428 fe3_c + 0.255712 gln__L_c + 0.255712 glu__L_c + 0.595297 gly_c + 0.154187 glycogen_c + 0.000223 gthrd_c + 0.209121 gtp_c + 48.752916 h2o_c + 0.000223 hemeO_c + 0.092056 his__L_c + 0.282306 ile__L_c + 0.18569 k_c + 0.437778 leu__L_c + 3e-06 lipopb_c + 0.333448 lys__L_c + 3.1e-05 malcoa_c + 0.149336 met__L_c + 0.008253 mg2_c + 0.000223 mlthf_c + 0.000658 mn2_c + 7e-06 mobd_c + 7e-06 mococdp_c + 7e-06 mocogdp_c + 0.000223 mql8_c + 0.001345 murein3p3p_p + 0.000605 murein3px4p_p + 0.005381 murein4p4p_p + 0.005448 murein4px4p_p + 0.000673 murein4px4px4p_p + 0.001787 nad_c + 4.5e-05 nadh_c + 0.000112 nadp_c + 0.000335 nadph_c + 0.012379 nh4_c + 0.000307 ni2_c + 0.012366 pe160_c + 0.031798 pe160_p + 0.009618 pe161_c + 0.024732 pe161_p + 0.004957 pe181_c + 0.012747 pe181_p + 0.005707 pg160_c + 0.004892 pg160_p + 0.004439 pg161_c + 0.003805 pg161_p + 0.002288 pg181_c + 0.001961 pg181_p + 0.180021 phe__L_c + 0.000223 pheme_c + 0.214798 pro__L_c + 0.03327 ptrc_c + 0.000223 pydx5p_c + 0.000223 q8h2_c + 0.000223 ribflv_c + 0.209684 ser__L_c + 0.000223 sheme_c + 0.004126 so4_c + 0.006744 spmd_c + 9.8e-05 succoa_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.246506 thr__L_c + 0.055234 trp__L_c + 0.133993 tyr__L_c + 5.5e-05 udcpdp_c + 0.140101 utp_c + 0.411184 val__L_c + 0.000324 zn2_c --> 53.95 adp_c + 53.95 h_c + 53.945874 pi_c + 0.749831 ppi_c
D-Glucarate exchange,Extracellular exchange,EX_glcr_e,glcr_e --> 
Core oligosaccharide lipid A diphosphate exchange,Extracellular exchange,EX_colipap_e,colipap_e --> 
D-Glucuronate exchange,Extracellular exchange,EX_glcur_e,glcur_e --> 
D-Glucuronate 1-phosphate exchange,Extracellular exchange,EX_glcur1p_e,glcur1p_e --> 
E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate,Biomass and maintenance functions,BIOMASS_Ec_iJO1366_core_53p95M,0.000223 10fthf_c + 2.6e-05 2fe2s_c + 0.000223 2ohph_c + 0.00026 4fe4s_c + 0.513689 ala__L_c + 0.000223 amet_c + 0.295792 arg__L_c + 0.241055 asn__L_c + 0.241055 asp__L_c + 54.124831 atp_c + 0.000122 bmocogdp_c + 2e-06 btn_c + 0.005205 ca2_c + 0.005205 cl_c + 0.000576 coa_c + 2.5e-05 cobalt2_c + 0.133508 ctp_c + 0.000709 cu2_c + 0.09158 cys__L_c + 0.026166 datp_c + 0.027017 dctp_c + 0.027017 dgtp_c + 0.026166 dttp_c + 0.000223 fad_c + 0.006715 fe2_c + 0.007808 fe3_c + 0.26316 gln__L_c + 0.26316 glu__L_c + 0.612638 gly_c + 0.215096 gtp_c + 48.601527 h2o_c + 0.094738 his__L_c + 0.290529 ile__L_c + 0.195193 k_c + 0.019456 kdo2lipid4_e + 0.450531 leu__L_c + 0.343161 lys__L_c + 0.153686 met__L_c + 0.008675 mg2_c + 0.000223 mlthf_c + 0.000691 mn2_c + 7e-06 mobd_c + 0.013894 murein5px4p_p + 0.001831 nad_c + 0.000447 nadp_c + 0.013013 nh4_c + 0.000323 ni2_c + 0.017868 pe160_c + 0.045946 pe160_p + 0.054154 pe161_c + 0.02106 pe161_p + 0.185265 phe__L_c + 0.000223 pheme_c + 0.221055 pro__L_c + 0.000223 pydx5p_c + 0.000223 ribflv_c + 0.215792 ser__L_c + 0.000223 sheme_c + 0.004338 so4_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.253687 thr__L_c + 0.056843 trp__L_c + 0.137896 tyr__L_c + 5.5e-05 udcpdp_c + 0.144104 utp_c + 0.423162 val__L_c + 0.000341 zn2_c --> 53.95 adp_c + 53.95 h_c + 53.945662 pi_c + 0.773903 ppi_c
"(R)-Propane-1,2-diol exchange",Extracellular exchange,EX_12ppd__R_e,12ppd__R_e --> 
L-Glutamine exchange,Extracellular exchange,EX_gln__L_e,gln__L_e --> 
Coprogen exchange,Extracellular exchange,EX_cpgn_e,cpgn_e --> 
L-Glutamate exchange,Extracellular exchange,EX_glu__L_e,glu__L_e --> 
Glycine exchange,Extracellular exchange,EX_gly_e,gly_e --> 
D-Glyceraldehyde exchange,Extracellular exchange,EX_glyald_e,glyald_e --> 
Glycine betaine exchange,Extracellular exchange,EX_glyb_e,glyb_e --> 
Glycerol exchange,Extracellular exchange,EX_glyc_e,glyc_e --> 
"(S)-Propane-1,2-diol exchange",Extracellular exchange,EX_12ppd__S_e,12ppd__S_e --> 
"1,4-alpha-D-glucan exchange",Extracellular exchange,EX_14glucan_e,14glucan_e --> 
Coprogen unloaded (no Fe(III)) exchange,Extracellular exchange,EX_cpgn_un_e,cpgn_un_e --> 
"1,5-Diaminopentane exchange",Extracellular exchange,EX_15dap_e,15dap_e --> 
(R)-Glycerate exchange,Extracellular exchange,EX_glyc__R_e,glyc__R_e --> 
Glycerol 2-phosphate exchange,Extracellular exchange,EX_glyc2p_e,glyc2p_e --> 
"2',3'-Cyclic AMP exchange",Extracellular exchange,EX_23camp_e,23camp_e --> 
"2',3'-Cyclic CMP exchange",Extracellular exchange,EX_23ccmp_e,23ccmp_e --> 
"2',3'-Cyclic GMP exchange",Extracellular exchange,EX_23cgmp_e,23cgmp_e --> 
"2',3'-Cyclic UMP exchange",Extracellular exchange,EX_23cump_e,23cump_e --> 
"2,3-diaminopropionate exchange",Extracellular exchange,EX_23dappa_e,23dappa_e --> 
"Meso-2,6-Diaminoheptanedioate exchange",Extracellular exchange,EX_26dap__M_e,26dap__M_e --> 
Glycerol 3-phosphate exchange,Extracellular exchange,EX_glyc3p_e,glyc3p_e --> 
Glycolate exchange,Extracellular exchange,EX_glyclt_e,glyclt_e --> 
GMP exchange,Extracellular exchange,EX_gmp_e,gmp_e --> 
Guanosine exchange,Extracellular exchange,EX_gsn_e,gsn_e --> 
Oxidized glutathione exchange,Extracellular exchange,EX_gthox_e,gthox_e --> 
Reduced glutathione exchange,Extracellular exchange,EX_gthrd_e,gthrd_e --> 
GTP exchange,Extracellular exchange,EX_gtp_e,gtp_e --> 
Guanine exchange,Extracellular exchange,EX_gua_e,gua_e --> 
H+ exchange,Extracellular exchange,EX_h_e,h_e <=> 
H2 exchange,Extracellular exchange,EX_h2_e,h2_e --> 
H2O exchange,Extracellular exchange,EX_h2o_e,h2o_e <=> 
Hydrogen peroxide exchange,Extracellular exchange,EX_h2o2_e,h2o2_e --> 
Hydrogen sulfide exchange,Extracellular exchange,EX_h2s_e,h2s_e --> 
Hepta-acylated core oligosaccharide lipid A (E. coli) exchange,Extracellular exchange,EX_hacolipa_e,hacolipa_e --> 
Hepta-acylated KDO(2)-lipid (A) exchange,Extracellular exchange,EX_halipa_e,halipa_e --> 
Hexadecanoate (n-C16:0) exchange,Extracellular exchange,EX_hdca_e,hdca_e --> 
Hexadecenoate (n-C16:1) exchange,Extracellular exchange,EX_hdcea_e,hdcea_e --> 
Hg2+ exchange,Extracellular exchange,EX_hg2_e,hg2_e --> 
L-Histidine exchange,Extracellular exchange,EX_his__L_e,his__L_e --> 
2-Dehydro-3-deoxy-D-gluconate exchange,Extracellular exchange,EX_2ddglcn_e,2ddglcn_e --> 
"3,4-Dihydroxyphenylacetaldehyde exchange",Extracellular exchange,EX_34dhpac_e,34dhpac_e --> 
3'-AMP exchange,Extracellular exchange,EX_3amp_e,3amp_e --> 
3'-cmp exchange,Extracellular exchange,EX_3cmp_e,3cmp_e --> 
3'-GMP exchange,Extracellular exchange,EX_3gmp_e,3gmp_e --> 
3-hydroxycinnamic acid exchange,Extracellular exchange,EX_3hcinnm_e,3hcinnm_e --> 
3-Hydroxypropanoate exchange,Extracellular exchange,EX_3hpp_e,3hpp_e --> 
3-(3-hydroxy-phenyl)propionate exchange,Extracellular exchange,EX_3hpppn_e,3hpppn_e --> 
L-Homoserine exchange,Extracellular exchange,EX_hom__L_e,hom__L_e --> 
Hexanoate (n-C6:0) exchange,Extracellular exchange,EX_hxa_e,hxa_e --> 
Hypoxanthine exchange,Extracellular exchange,EX_hxan_e,hxan_e --> 
L-Idonate exchange,Extracellular exchange,EX_idon__L_e,idon__L_e --> 
3'-UMP exchange,Extracellular exchange,EX_3ump_e,3ump_e --> 
4-Aminobutanoate exchange,Extracellular exchange,EX_4abut_e,4abut_e --> 
4-Hydroxyphenylacetaldehyde exchange,Extracellular exchange,EX_4hoxpacd_e,4hoxpacd_e --> 
5-Dehydro-D-gluconate exchange,Extracellular exchange,EX_5dglcn_e,5dglcn_e --> 
5-Methylthio-D-ribose exchange,Extracellular exchange,EX_5mtr_e,5mtr_e --> 
L-alanine-D-glutamate exchange,Extracellular exchange,EX_LalaDglu_e,LalaDglu_e --> 
L-Isoleucine exchange,Extracellular exchange,EX_ile__L_e,ile__L_e --> 
IMP exchange,Extracellular exchange,EX_imp_e,imp_e --> 
Indole exchange,Extracellular exchange,EX_indole_e,indole_e --> 
Myo-Inositol exchange,Extracellular exchange,EX_inost_e,inost_e --> 
Inosine exchange,Extracellular exchange,EX_ins_e,ins_e --> 
Isethionic acid exchange,Extracellular exchange,EX_isetac_e,isetac_e --> 
K+ exchange,Extracellular exchange,EX_k_e,k_e <=> 
"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate exchange",Extracellular exchange,EX_LalaDgluMdap_e,LalaDgluMdap_e --> 
"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine exchange",Extracellular exchange,EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e --> 
L-alanine-L-glutamate exchange,Extracellular exchange,EX_LalaLglu_e,LalaLglu_e --> 
KDO(2)-lipid IV(A) exchange,Extracellular exchange,EX_kdo2lipid4_e,kdo2lipid4_e --> 
Acetate exchange,Extracellular exchange,EX_ac_e,ac_e --> 
L-Carnitine exchange,Extracellular exchange,EX_crn_e,crn_e --> 
Acetoacetate exchange,Extracellular exchange,EX_acac_e,acac_e --> 
Acetaldehyde exchange,Extracellular exchange,EX_acald_e,acald_e --> 
D-lactate exchange,Extracellular exchange,EX_lac__D_e,lac__D_e --> 
L-Lactate exchange,Extracellular exchange,EX_lac__L_e,lac__L_e --> 
D-carnitine exchange,Extracellular exchange,EX_crn__D_e,crn__D_e --> 
Lactose exchange,Extracellular exchange,EX_lcts_e,lcts_e --> 
N-Acetyl-D-galactosamine exchange,Extracellular exchange,EX_acgal_e,acgal_e --> 
N-Acetyl-D-galactosamine 1-phosphate exchange,Extracellular exchange,EX_acgal1p_e,acgal1p_e --> 
N-Acetyl-D-glucosamine exchange,Extracellular exchange,EX_acgam_e,acgam_e --> 
L-Leucine exchange,Extracellular exchange,EX_leu__L_e,leu__L_e --> 
Cytosine exchange,Extracellular exchange,EX_csn_e,csn_e --> 
N-Acetyl-D-glucosamine 1-phosphate exchange,Extracellular exchange,EX_acgam1p_e,acgam1p_e --> 
N-Acetyl-D-mannosamine exchange,Extracellular exchange,EX_acmana_e,acmana_e --> 
N-Acetylmuramate exchange,Extracellular exchange,EX_acmum_e,acmum_e --> 
KDO(2)-lipid (A) exchange,Extracellular exchange,EX_lipa_e,lipa_e --> 
Cu+ exchange,Extracellular exchange,EX_cu_e,cu_e --> 
Cold adapted KDO(2)-lipid (A) exchange,Extracellular exchange,EX_lipa_cold_e,lipa_cold_e --> 
N-Acetylneuraminate exchange,Extracellular exchange,EX_acnam_e,acnam_e --> 
4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A exchange,Extracellular exchange,EX_acolipa_e,acolipa_e --> 
Cu2+ exchange,Extracellular exchange,EX_cu2_e,cu2_e <=> 
O-Acetyl-L-serine exchange,Extracellular exchange,EX_acser_e,acser_e --> 
Adenine exchange,Extracellular exchange,EX_ade_e,ade_e --> 
Adenosine exchange,Extracellular exchange,EX_adn_e,adn_e --> 
Adenosylcobalamin exchange,Extracellular exchange,EX_adocbl_e,adocbl_e --> 
Silver exchange,Extracellular exchange,EX_ag_e,ag_e --> 
Lipoate exchange,Extracellular exchange,EX_lipoate_e,lipoate_e --> 
L-Lysine exchange,Extracellular exchange,EX_lys__L_e,lys__L_e --> 
L-Lyxose exchange,Extracellular exchange,EX_lyx__L_e,lyx__L_e --> 
D-Malate exchange,Extracellular exchange,EX_mal__D_e,mal__D_e --> 
Agmatine exchange,Extracellular exchange,EX_agm_e,agm_e --> 
2-Oxoglutarate exchange,Extracellular exchange,EX_akg_e,akg_e --> 
Hydrogen cyanide exchange,Extracellular exchange,EX_cyan_e,cyan_e --> 
Beta-Alanine exchange,Extracellular exchange,EX_ala_B_e,ala_B_e --> 
D-Alanine exchange,Extracellular exchange,EX_ala__D_e,ala__D_e --> 
L-Alanine exchange,Extracellular exchange,EX_ala__L_e,ala__L_e --> 
D-Alanyl-D-alanine exchange,Extracellular exchange,EX_alaala_e,alaala_e --> 
D-Allose exchange,Extracellular exchange,EX_all__D_e,all__D_e --> 
Allantoin exchange,Extracellular exchange,EX_alltn_e,alltn_e --> 
AMP exchange,Extracellular exchange,EX_amp_e,amp_e --> 
N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid exchange,Extracellular exchange,EX_anhgm_e,anhgm_e --> 
L-Arabinose exchange,Extracellular exchange,EX_arab__L_e,arab__L_e --> 
L-Malate exchange,Extracellular exchange,EX_mal__L_e,mal__L_e --> 
Maltose exchange,Extracellular exchange,EX_malt_e,malt_e --> 
Maltohexaose exchange,Extracellular exchange,EX_malthx_e,malthx_e --> 
Maltopentaose exchange,Extracellular exchange,EX_maltpt_e,maltpt_e --> 
Maltotriose exchange,Extracellular exchange,EX_malttr_e,malttr_e --> 
Maltotetraose exchange,Extracellular exchange,EX_maltttr_e,maltttr_e --> 
D-Mannose exchange,Extracellular exchange,EX_man_e,man_e --> 
Cyanate exchange,Extracellular exchange,EX_cynt_e,cynt_e --> 
D-Mannose 6-phosphate exchange,Extracellular exchange,EX_man6p_e,man6p_e --> 
2(alpha-D-Mannosyl)-D-glycerate exchange,Extracellular exchange,EX_manglyc_e,manglyc_e --> 
Melibiose exchange,Extracellular exchange,EX_melib_e,melib_e --> 
D-Cysteine exchange,Extracellular exchange,EX_cys__D_e,cys__D_e --> 
Methanol exchange,Extracellular exchange,EX_meoh_e,meoh_e --> 
D-Methionine exchange,Extracellular exchange,EX_met__D_e,met__D_e --> 
Arbutin exchange,Extracellular exchange,EX_arbt_e,arbt_e --> 
Aerobactin minus Fe3 exchange,Extracellular exchange,EX_arbtn_e,arbtn_e --> 
Aerobactin exchange,Extracellular exchange,EX_arbtn_fe3_e,arbtn_fe3_e --> 
L-Methionine exchange,Extracellular exchange,EX_met__L_e,met__L_e --> 
L-Cysteine exchange,Extracellular exchange,EX_cys__L_e,cys__L_e --> 
L-methionine-R-sulfoxide exchange,Extracellular exchange,EX_metsox_R__L_e,metsox_R__L_e --> 
L-Methionine S-oxide exchange,Extracellular exchange,EX_metsox_S__L_e,metsox_S__L_e --> 
Mg exchange,Extracellular exchange,EX_mg2_e,mg2_e <=> 
Minocycline exchange,Extracellular exchange,EX_mincyc_e,mincyc_e --> 
Myo-Inositol hexakisphosphate exchange,Extracellular exchange,EX_minohp_e,minohp_e --> 
S-Methyl-L-methionine exchange,Extracellular exchange,EX_mmet_e,mmet_e --> 
L-Arginine exchange,Extracellular exchange,EX_arg__L_e,arg__L_e --> 
L-Ascorbate exchange,Extracellular exchange,EX_ascb__L_e,ascb__L_e --> 
L-Asparagine exchange,Extracellular exchange,EX_asn__L_e,asn__L_e --> 
Arsenite exchange,Extracellular exchange,EX_aso3_e,aso3_e --> 
L-Aspartate exchange,Extracellular exchange,EX_asp__L_e,asp__L_e --> 
Biotin exchange,Extracellular exchange,EX_btn_e,btn_e --> 
Butyrate (n-C4:0) exchange,Extracellular exchange,EX_but_e,but_e --> 
Mn2+ exchange,Extracellular exchange,EX_mn2_e,mn2_e <=> 
D-Mannitol exchange,Extracellular exchange,EX_mnl_e,mnl_e --> 
Molybdate exchange,Extracellular exchange,EX_mobd_e,mobd_e <=> 
Methanesulfonate exchange,Extracellular exchange,EX_mso3_e,mso3_e --> 
Nitrous oxide exchange,Extracellular exchange,EX_n2o_e,n2o_e --> 
Sodium exchange,Extracellular exchange,EX_na1_e,na1_e <=> 
Nicotinate exchange,Extracellular exchange,EX_nac_e,nac_e --> 
Ammonia exchange,Extracellular exchange,EX_nh4_e,nh4_e <=> 
Butanesulfonate exchange,Extracellular exchange,EX_butso3_e,butso3_e --> 
Calcium exchange,Extracellular exchange,EX_ca2_e,ca2_e <=> 
Cobinamide exchange,Extracellular exchange,EX_cbi_e,cbi_e --> 
Cytidine exchange,Extracellular exchange,EX_cytd_e,cytd_e --> 
Cob(I)alamin exchange,Extracellular exchange,EX_cbl1_e,cbl1_e <=> 
Cadmium exchange,Extracellular exchange,EX_cd2_e,cd2_e --> 
Cys-Gly exchange,Extracellular exchange,EX_cgly_e,cgly_e --> 
Ni2+ exchange,Extracellular exchange,EX_ni2_e,ni2_e <=> 
NMN exchange,Extracellular exchange,EX_nmn_e,nmn_e --> 
Nitric oxide exchange,Extracellular exchange,EX_no_e,no_e --> 
Nitrite exchange,Extracellular exchange,EX_no2_e,no2_e --> 
Nitrate exchange,Extracellular exchange,EX_no3_e,no3_e --> 
Novobiocin exchange,Extracellular exchange,EX_novbcn_e,novbcn_e --> 
(O16 antigen)x4 core oligosaccharide lipid A exchange,Extracellular exchange,EX_o16a4colipa_e,o16a4colipa_e --> 
O2 exchange,Extracellular exchange,EX_o2_e,o2_e <-- 
Superoxide anion exchange,Extracellular exchange,EX_o2s_e,o2s_e --> 
Octadecanoate (n-C18:0) exchange,Extracellular exchange,EX_ocdca_e,ocdca_e --> 
Octadecenoate (n-C18:1) exchange,Extracellular exchange,EX_ocdcea_e,ocdcea_e --> 
Octanoate (n-C8:0) exchange,Extracellular exchange,EX_octa_e,octa_e --> 
Ornithine exchange,Extracellular exchange,EX_orn_e,orn_e --> 
Orotate exchange,Extracellular exchange,EX_orot_e,orot_e --> 
Phenylacetaldehyde exchange,Extracellular exchange,EX_pacald_e,pacald_e --> 
Phenethylamine exchange,Extracellular exchange,EX_peamn_e,peamn_e --> 
L-Phenylalanine exchange,Extracellular exchange,EX_phe__L_e,phe__L_e --> 
Protoheme exchange,Extracellular exchange,EX_pheme_e,pheme_e --> 
Choline exchange,Extracellular exchange,EX_chol_e,chol_e --> 
Chitobiose exchange,Extracellular exchange,EX_chtbs_e,chtbs_e --> 
Citrate exchange,Extracellular exchange,EX_cit_e,cit_e --> 
Chloride exchange,Extracellular exchange,EX_cl_e,cl_e <=> 
Phosphate exchange,Extracellular exchange,EX_pi_e,pi_e <=> 
Deoxyadenosine exchange,Extracellular exchange,EX_dad_2_e,dad_2_e --> 
(R)-Pantothenate exchange,Extracellular exchange,EX_pnto__R_e,pnto__R_e --> 
Propionate exchange,Extracellular exchange,EX_ppa_e,ppa_e --> 
DAMP exchange,Extracellular exchange,EX_damp_e,damp_e --> 
Propanal exchange,Extracellular exchange,EX_ppal_e,ppal_e --> 
Decanoate (n-C10:0) exchange,Extracellular exchange,EX_dca_e,dca_e --> 
Phenylpropanoate exchange,Extracellular exchange,EX_pppn_e,pppn_e --> 
Phosphonate exchange,Extracellular exchange,EX_ppt_e,ppt_e --> 
DCMP exchange,Extracellular exchange,EX_dcmp_e,dcmp_e --> 
L-Proline exchange,Extracellular exchange,EX_pro__L_e,pro__L_e --> 
Deoxycytidine exchange,Extracellular exchange,EX_dcyt_e,dcyt_e --> 
L-Prolinylglycine exchange,Extracellular exchange,EX_progly_e,progly_e --> 
Psicoselysine exchange,Extracellular exchange,EX_psclys_e,psclys_e --> 
Dodecanoate (n-C12:0) exchange,Extracellular exchange,EX_ddca_e,ddca_e --> 
O-Phospho-L-serine exchange,Extracellular exchange,EX_pser__L_e,pser__L_e --> 
Putrescine exchange,Extracellular exchange,EX_ptrc_e,ptrc_e --> 
DGMP exchange,Extracellular exchange,EX_dgmp_e,dgmp_e --> 
Deoxyguanosine exchange,Extracellular exchange,EX_dgsn_e,dgsn_e --> 
L-Valine exchange,Extracellular exchange,EX_val__L_e,val__L_e --> 
Xanthine exchange,Extracellular exchange,EX_xan_e,xan_e --> 
Dihydroxyacetone exchange,Extracellular exchange,EX_dha_e,dha_e --> 
Xanthosine 5'-phosphate exchange,Extracellular exchange,EX_xmp_e,xmp_e --> 
DIMP exchange,Extracellular exchange,EX_dimp_e,dimp_e --> 
Deoxyinosine exchange,Extracellular exchange,EX_din_e,din_e --> 
Xanthosine exchange,Extracellular exchange,EX_xtsn_e,xtsn_e --> 
Pyridoxamine exchange,Extracellular exchange,EX_pydam_e,pydam_e --> 
D-Xylose exchange,Extracellular exchange,EX_xyl__D_e,xyl__D_e --> 
L-Xylulose exchange,Extracellular exchange,EX_xylu__L_e,xylu__L_e --> 
Zinc exchange,Extracellular exchange,EX_zn2_e,zn2_e <=> 
"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)","Transport, Inner Membrane",12DGR120tipp,12dgr120_p --> 12dgr120_c
"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)","Transport, Inner Membrane",12DGR140tipp,12dgr140_p --> 12dgr140_c
"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)","Transport, Inner Membrane",12DGR141tipp,12dgr141_p --> 12dgr141_c
"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)","Transport, Inner Membrane",12DGR160tipp,12dgr160_p --> 12dgr160_c
"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)","Transport, Inner Membrane",12DGR161tipp,12dgr161_p --> 12dgr161_c
"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)","Transport, Inner Membrane",12DGR180tipp,12dgr180_p --> 12dgr180_c
Pyridoxal exchange,Extracellular exchange,EX_pydx_e,pydx_e --> 
Pyridoxine exchange,Extracellular exchange,EX_pydxn_e,pydxn_e --> 
Pyruvate exchange,Extracellular exchange,EX_pyr_e,pyr_e --> 
Quinate exchange,Extracellular exchange,EX_quin_e,quin_e --> 
Alpha-D-Ribose 5-phosphate exchange,Extracellular exchange,EX_r5p_e,r5p_e --> 
Rifampin exchange,Extracellular exchange,EX_rfamp_e,rfamp_e --> 
D-Ribose exchange,Extracellular exchange,EX_rib__D_e,rib__D_e --> 
L-Rhamnose exchange,Extracellular exchange,EX_rmn_e,rmn_e --> 
D-Sorbitol exchange,Extracellular exchange,EX_sbt__D_e,sbt__D_e --> 
Selenate exchange,Extracellular exchange,EX_sel_e,sel_e <=> 
D-Serine exchange,Extracellular exchange,EX_ser__D_e,ser__D_e --> 
L-Serine exchange,Extracellular exchange,EX_ser__L_e,ser__L_e --> 
Shikimate exchange,Extracellular exchange,EX_skm_e,skm_e --> 
"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)","Transport, Inner Membrane",12DGR181tipp,12dgr181_p --> 12dgr181_c
"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane Porin",12PPDRtex,12ppd__R_e <=> 12ppd__R_p
"(R)-Propane-1,2-diol facilitated transport (periplasm)","Transport, Inner Membrane",12PPDRtpp,12ppd__R_p <=> 12ppd__R_c
Dimethyl sulfide exchange,Extracellular exchange,EX_dms_e,dms_e --> 
"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane Porin",12PPDStex,12ppd__S_e <=> 12ppd__S_p
"(S)-Propane-1,2-diol facilitated transport (periplasm)","Transport, Inner Membrane",12PPDStpp,12ppd__S_p <=> 12ppd__S_c
"1,4-alpha-D-glucan transport via ABC system (periplasm)","Transport, Inner Membrane",14GLUCANabcpp,14glucan_p + atp_c + h2o_c --> 14glucan_c + adp_c + h_c + pi_c
Selenite exchange,Extracellular exchange,EX_slnt_e,slnt_e <=> 
Sulfur dioxide exchange,Extracellular exchange,EX_so2_e,so2_e --> 
Sulfite exchange,Extracellular exchange,EX_so3_e,so3_e --> 
Dimethyl sulfoxide exchange,Extracellular exchange,EX_dmso_e,dmso_e --> 
Sulfate exchange,Extracellular exchange,EX_so4_e,so4_e <=> 
Spermidine exchange,Extracellular exchange,EX_spmd_e,spmd_e --> 
Succinate exchange,Extracellular exchange,EX_succ_e,succ_e --> 
"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible","Transport, Outer Membrane",14GLUCANtexi,14glucan_e --> 14glucan_p
23cAMP transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",23CAMPtex,23camp_e <=> 23camp_p
23cCMP transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",23CCMPtex,23ccmp_e <=> 23ccmp_p
Sucrose exchange,Extracellular exchange,EX_sucr_e,sucr_e --> 
Sulfoacetate exchange,Extracellular exchange,EX_sulfac_e,sulfac_e --> 
23cGMP transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",23CGMPtex,23cgmp_e <=> 23cgmp_p
D-tartrate exchange,Extracellular exchange,EX_tartr__D_e,tartr__D_e --> 
23cUMP transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",23CUMPtex,23cump_e <=> 23cump_p
Dopamine exchange,Extracellular exchange,EX_dopa_e,dopa_e --> 
